9	2008	-1.703	-0.016	1.777	0.271
18	4023	-2.042	0.008	2.171	0.380
26	6045	-3.104	0.052	2.987	0.447
34	8075	-3.441	0.079	3.214	0.427
43	10112	-3.742	0.102	2.936	0.430
53	12156	-3.355	0.129	3.183	0.454
62	14208	-2.620	0.159	3.319	0.517
71	16267	-2.265	0.180	3.336	0.561
81	18333	-0.818	0.164	2.958	0.505
87	20407	-0.692	0.159	2.837	0.480
94	22488	-0.445	0.144	2.625	0.432
103	24577	-0.528	0.134	2.484	0.398
113	26674	-0.361	0.128	2.432	0.379
122	28778	0.000	0.117	2.271	0.347
131	30890	0.000	0.108	2.136	0.317
139	33009	0.000	0.119	2.340	0.349
147	35136	0.000	0.108	2.217	0.318
154	37271	0.000	0.103	2.344	0.302
162	39413	0.000	0.091	2.036	0.269
171	41563	0.000	0.083	2.116	0.245
180	43721	0.000	0.076	2.213	0.227
189	45887	0.000	0.076	2.103	0.226
198	48061	0.000	0.075	1.976	0.224
206	50242	0.000	0.065	1.935	0.193
215	52431	0.000	0.066	2.093	0.198
225	54628	0.000	0.063	2.015	0.188
233	56833	0.000	0.074	2.058	0.220
241	59046	0.000	0.071	1.990	0.214
249	61267	0.000	0.080	2.168	0.237
258	63496	0.000	0.081	2.286	0.243
267	65733	0.000	0.089	2.317	0.261
276	67978	0.000	0.098	2.958	0.294
286	70231	0.000	0.105	2.641	0.307
334	81702	0.000	0.099	2.762	0.289
382	93383	0.000	0.113	3.668	0.330
429	105279	0.000	0.104	2.681	0.303
478	117393	0.000	0.116	3.160	0.338
526	129729	0.000	0.133	3.701	0.385
576	142291	0.000	0.137	3.055	0.390
628	155083	0.000	0.150	3.213	0.420
681	168109	0.000	0.140	2.847	0.387
732	181374	0.000	0.157	3.144	0.432
784	194882	0.000	0.166	3.186	0.451
835	208638	0.000	0.175	3.189	0.470
885	222646	0.000	0.193	3.307	0.513
935	236911	0.000	0.206	3.570	0.541
986	251437	0.000	0.199	3.237	0.519
1038	266230	0.000	0.209	3.352	0.541
1089	281294	0.000	0.202	3.364	0.515
1141	296634	0.000	0.195	3.343	0.491
1192	312255	0.000	0.198	3.240	0.499
1249	328162	0.000	0.187	3.261	0.467
1298	344361	0.000	0.210	3.509	0.518
1353	360857	0.000	0.213	3.309	0.523
1405	377655	0.000	0.215	3.106	0.518
1453	394761	0.000	0.238	3.729	0.566
1507	412181	0.000	0.228	3.454	0.539
1554	429920	0.000	0.242	3.477	0.561
1606	447984	0.000	0.248	3.559	0.571
1658	466379	0.000	0.264	3.499	0.602
1709	485111	0.000	0.272	3.844	0.614
1757	504187	0.000	0.289	3.725	0.645
1808	523613	0.000	0.284	3.503	0.625
1856	543395	0.000	0.302	3.728	0.657
1907	563539	0.000	0.310	3.746	0.668
1956	584052	0.000	0.302	3.541	0.638
2012	604941	0.000	0.291	3.853	0.608
2064	626213	0.000	0.301	3.599	0.622
2117	647875	0.000	0.302	3.774	0.621
2168	669934	0.000	0.309	3.430	0.624
2225	692398	0.000	0.315	3.626	0.630
2279	715273	-0.088	0.310	3.154	0.614
2329	738568	-0.072	0.315	2.987	0.613
2389	762290	0.000	0.318	3.298	0.616
2447	786447	0.000	0.341	3.208	0.652
2504	811046	0.000	0.359	3.305	0.676
2559	836096	0.000	0.352	3.176	0.654
2611	861605	-0.061	0.361	3.221	0.663
2670	887582	-0.039	0.357	2.975	0.651
2726	914035	-0.039	0.358	3.112	0.642
2782	940973	-0.022	0.377	3.059	0.666
2833	968405	0.000	0.386	3.094	0.670
2890	996340	-0.061	0.399	3.075	0.690
2939	1024787	0.000	0.412	3.089	0.698
2990	1053755	-0.043	0.414	2.928	0.693
3044	1083254	-0.002	0.413	3.089	0.685
3099	1113294	0.000	0.430	3.038	0.703
3157	1143884	-0.045	0.417	2.986	0.678
3222	1175035	-0.011	0.434	3.069	0.696
3276	1206757	-0.048	0.443	2.958	0.695
3334	1239061	-0.104	0.440	2.923	0.685
3388	1271957	-0.176	0.459	2.852	0.701
3450	1305456	-0.103	0.463	3.060	0.704
3511	1339569	-0.107	0.470	2.846	0.704
3568	1374307	-0.171	0.484	3.249	0.714
3626	1409682	-0.227	0.492	2.956	0.716
3689	1445705	-0.074	0.497	3.093	0.717
3750	1482388	-0.088	0.514	2.951	0.728
3809	1519744	-0.127	0.519	2.928	0.724
3872	1557785	-0.160	0.527	3.494	0.726
3936	1596523	-0.094	0.516	2.737	0.701
4005	1635971	-0.257	0.520	3.004	0.696
4085	1676142	-0.200	0.507	2.841	0.674
4175	1717049	-0.134	0.507	3.129	0.669
4248	1758706	-0.252	0.523	2.584	0.675
4317	1801127	-0.183	0.550	2.753	0.696
4393	1844325	-0.203	0.536	2.954	0.673
4465	1888315	-0.171	0.560	2.600	0.692
4545	1933111	-0.327	0.553	2.505	0.677
