1	182	0.0	0.0
2	394	1.0	0.5
3	632	1.0	0.7
4	801	0.0	0.5
5	1039	1.0	0.6
6	1249	1.0	0.7
7	1503	2.0	0.9
8	1812	2.0	1.0
9	2046	1.0	1.0
10	2281	1.0	1.0
11	2463	0.0	0.9
12	2717	1.0	0.9
13	3047	3.0	1.1
14	3218	0.0	1.0
15	3456	1.0	1.0
16	3725	2.0	1.1
17	3991	2.0	1.1
18	4262	2.0	1.2
19	4561	2.0	1.2
20	4725	0.0	1.1
21	4964	1.0	1.1
22	5205	1.0	1.1
23	5372	0.0	1.1
24	5678	3.0	1.2
25	5950	2.0	1.2
26	6128	0.0	1.2
27	6351	1.0	1.1
28	6757	4.0	1.2
29	6943	0.0	1.2
30	7272	3.0	1.3
31	7447	0.0	1.3
32	7766	2.0	1.3
33	7942	0.0	1.3
34	8167	1.0	1.3
35	8465	2.0	1.3
36	8699	1.0	1.3
37	8878	0.0	1.3
38	9100	1.0	1.2
39	9270	0.0	1.2
40	9659	4.0	1.3
41	9824	0.0	1.3
42	9996	0.0	1.3
43	10184	0.0	1.2
44	10406	1.0	1.2
45	10643	1.0	1.2
46	10806	0.0	1.1
47	11084	2.0	1.1
48	11290	1.0	1.1
49	11454	0.0	1.0
50	11760	2.0	1.1
51	11942	0.0	1.1
52	12122	0.0	1.0
53	12389	2.0	1.1
54	12631	1.0	1.0
55	12798	0.0	1.0
56	13041	1.0	1.0
57	13291	1.0	1.0
58	13462	0.0	0.9
59	13630	0.0	0.9
60	13867	1.0	0.8
61	14134	2.0	0.9
62	14373	1.0	0.8
63	14617	2.0	0.9
64	14796	0.0	0.9
65	15045	1.0	0.8
66	15382	3.0	0.9
67	15557	0.0	0.9
68	15750	0.0	0.9
69	15926	0.0	0.9
70	16137	0.0	0.7
71	16314	0.0	0.7
72	16625	3.0	0.8
73	16811	0.0	0.8
74	17049	1.0	0.8
75	17278	1.0	0.8
76	17442	0.0	0.8
77	17717	2.0	0.8
78	17954	1.0	0.8
79	18132	0.0	0.8
80	18321	0.0	0.8
81	18653	3.0	0.9
82	18972	2.0	0.9
